Strain,Stress,Temp,Rate
0.033376597,326.3957247,293,0.0001
0.033542751,326.75372169999997,293,0.0001
0.033698114,327.0029259,293,0.0001
0.033845671,327.3714735,293,0.0001
0.034010868,327.69329389999996,293,0.0001
0.034186011,328.0550265,293,0.0001
0.03435327,328.3252658,293,0.0001
0.034517631,328.6744034,293,0.0001
0.034675901,328.99347989999995,293,0.0001
0.034838894,329.3318628,293,0.0001
0.035004146,329.6718412,293,0.0001
0.03516486,329.97024260000006,293,0.0001
0.035325231,330.3449436,293,0.0001
0.035488461,330.6609952,293,0.0001
0.03565232,331.04995130000003,293,0.0001
0.035810277,331.2771091,293,0.0001
0.035971896,331.62467680000003,293,0.0001
0.036126026,331.9211142,293,0.0001
0.036270625,332.24998389999996,293,0.0001
0.036435637,332.52184639999996,293,0.0001
0.036596859,332.8562918,293,0.0001
0.036763437,333.1604852,293,0.0001
0.036907301,333.48510639999995,293,0.0001
0.037062147999999996,333.82337110000003,293,0.0001
0.037218459,334.1485305,293,0.0001
0.037377317,334.4256762,293,0.0001
0.0375311,334.7358417,293,0.0001
0.037684217,335.08969510000003,293,0.0001
0.037844147,335.3471929,293,0.0001
0.038005215,335.64912660000005,293,0.0001
0.038153435,335.9444088,293,0.0001
0.038305047,336.2988553,293,0.0001
0.038468297,336.5799818,293,0.0001
0.038625277,336.93009969999997,293,0.0001
0.038782741,337.1688594,293,0.0001
0.038940857999999995,337.5047831,293,0.0001
0.039104905,337.853261,293,0.0001
0.039272363,338.15632589999996,293,0.0001
0.039433176,338.4414641,293,0.0001
0.039590943999999996,338.7201762,293,0.0001
0.039748156,339.0672264,293,0.0001
0.039904668,339.3023895,293,0.0001
0.040070144,339.643054,293,0.0001
0.040234114,339.8936769,293,0.0001
0.040391125,340.2207535,293,0.0001
0.04055061,340.48354589999997,293,0.0001
0.040716302,340.83867410000005,293,0.0001
0.040886900000000004,341.11831,293,0.0001
0.041038826,341.4097932,293,0.0001
0.041199335,341.7413151,293,0.0001
0.04136442,342.0298623,293,0.0001
0.041518817,342.3126744,293,0.0001
0.041676193,342.5815477,293,0.0001
0.041833102999999996,342.89691980000003,293,0.0001
0.041986237999999995,343.1689148,293,0.0001
0.042134955999999994,343.4754903,293,0.0001
0.042290829,343.74230930000004,293,0.0001
0.042443087000000004,344.0766798,293,0.0001
0.042602363,344.31338389999996,293,0.0001
0.042748388,344.6926662,293,0.0001
0.042907559000000005,344.9586275,293,0.0001
0.043044865999999994,345.2049552,293,0.0001
0.043202832999999996,345.46973439999994,293,0.0001
0.043352332,345.7733237,293,0.0001
0.04351356,346.068626,293,0.0001
0.043664718,346.3308559,293,0.0001
0.043824122,346.650915,293,0.0001
0.043979227,346.8566119,293,0.0001
